Date Time,Consumption [kW],Generator [kW],Heater [KW],Office [kW],AC [kW],Motor pump [kW],Solar [kW],temperature
1574274653,0.991217837,0.00348145,0.022035525,0.04429,0.043356517,0.032910267,0.003488216,36.97122
1574274654,1.44933791,0.0035329,0.022550775,0.0439804,0.171577467,0.032806667,0.003539766,36.97122
1574274655,1.450509437,0.0034986,0.0225336,0.0440148,0.171235133,0.032858467,0.0035054,36.97122
1574274656,1.224049834,0.00355005,0.022550775,0.0441524,0.0227994,0.032875733,0.00355695,36.97122
1574274657,1.099974538,0.0034986,0.0222588,0.0441008,0.00898625,0.0327894,0.0035054,36.97122
1574274658,0.760640141,0.00351575,0.021726375,0.0444448,0.005306167,0.032893,0.003522584,36.69501
1574274659,0.52938793,0.00351575,0.099941325,0.0446684,0.005135,0.032927533,0.003522584,36.69501
1574274660,0.495378163,0.00355005,0.06646725,0.044634,0.005152117,0.0329448,0.00355695,36.69501
1574274661,0.54628631,0.00351575,0.114729,0.0446856,0.005100767,0.032962067,0.003522584,36.69501
1574274662,0.69363238,0.00351575,0.118078125,0.0446684,0.117249167,0.0329448,0.003522584,36.69501
1574274663,0.756646301,0.0035329,0.146382525,0.0446684,0.1444989,0.032962067,0.003539766,36.69501
1574274664,1.273431446,0.0034986,0.51789495,0.0449952,0.141229617,0.032858467,0.0035054,36.69501
1574274665,1.261804935,0.0035329,0.4846098,0.0449436,0.14434485,0.032893,0.003539766,36.69501
1574274666,1.232694278,0.00351575,0.463038,0.0451844,0.139894517,0.0327894,0.003522584,36.69501
1574274667,0.868651325,0.00351575,0.098361225,0.04515,0.139962983,0.0327894,0.003522584,36.69501
1574274668,0.659303107,0.0035329,0.021314175,0.044892,0.139381017,0.032875733,0.003539766,36.69501
1574274669,0.8032056,0.00351575,0.021554625,0.044548,0.139124267,0.032979333,0.003522584,36.69501
1574274670,1.109879261,0.00351575,0.021966825,0.0445308,0.13879905,0.0326858,0.003522584,36.69501
1574274671,1.410659788,0.0034986,0.022447725,0.0439804,0.138405367,0.032806667,0.0035054,36.69501
1574274672,1.447864628,0.00351575,0.063976875,0.0439976,0.1379261,0.032772133,0.003522584,36.69501
1574274673,1.398696019,0.00348145,0.099666525,0.0439976,0.13397215,0.0326858,0.003488216,36.69501
1574274674,1.707428726,0.00348145,0.46355325,0.044548,0.13161005,0.032513133,0.003488216,36.69501
1574274675,1.287365511,0.0034986,0.511248225,0.0448576,0.130086667,0.1316238,0.0035054,36.69501
1574274676,1.142309242,0.00348145,0.509633775,0.044892,0.129076783,0.0804454,0.003488216,36.69501
1574274677,1.095164179,0.0035329,0.5080365,0.0448576,0.1286831,0.032823933,0.003539766,36.69501
1574274678,1.091898105,0.00348145,0.5066625,0.0448748,0.128306533,0.032893,0.003488216,36.69501
1574274679,1.092572621,0.00351575,0.506095725,0.044892,0.127638983,0.032893,0.003522584,36.69501
1574274680,1.166769292,0.00348145,0.4703202,0.0448748,0.127125483,0.156954,0.003488216,36.69501
1574274681,1.063799222,0.0034986,0.4478553,0.0447888,0.126766033,0.066701133,0.0035054,36.69501
1574274682,0.622045018,0.0034986,0.03843765,0.044548,0.12709125,0.032927533,0.0035054,36.69501
1574274683,0.605057885,0.0035329,0.021142425,0.0445824,0.126817383,0.032962067,0.003539766,36.69501
1574274684,0.630707213,0.0034986,0.02119395,0.044548,0.126321,0.032910267,0.0035054,36.69501
1574274685,0.743812762,0.00351575,0.021382875,0.0445136,0.126047133,0.0329448,0.003522584,36.69501
1574274686,0.928736428,0.00351575,0.02167485,0.044376,0.125670567,0.032910267,0.003522584,36.69501
1574274687,1.404571402,0.0035329,0.032890125,0.0440836,0.1260129,0.032858467,0.003539766,36.69501
1574274688,1.476762278,0.00348145,0.11139705,0.0440836,0.1257048,0.032875733,0.003488216,36.69501
1574274689,1.47461448,0.00351575,0.1169274,0.044118,0.125225533,0.032893,0.003522584,36.69501
1574274690,1.290170074,0.00348145,0.0644406,0.0441352,0.124951667,0.0329448,0.003488216,36.69501
1574274691,1.142824003,0.00351575,0.127009125,0.0443416,0.124557983,0.032858467,0.003522584,36.69501
1574274692,0.949557648,0.00351575,0.3700182,0.0449092,0.12452375,0.032806667,0.003522584,36.69501
1574274693,0.958415098,0.0035329,0.492252675,0.0450124,0.037417033,0.032962067,0.003539766,36.69501
1574274694,0.884644435,0.00351575,0.46142355,0.044978,0.004861133,0.033031133,0.003522584,36.69501
1574274695,0.60969074,0.0035329,0.182450025,0.0448748,0.00508365,0.033082933,0.003539766,36.69501
1574274696,0.449653133,0.00355005,0.021314175,0.0447544,0.005203467,0.0331002,0.00355695,36.69501
1574274697,0.448765613,0.0035329,0.021279825,0.0447372,0.005580033,0.033065667,0.003539766,36.69501
1574274698,0.446777568,0.0035329,0.021314175,0.0447372,0.0052377,0.033082933,0.003539766,36.69501
1574274699,0.539452407,0.00355005,0.11146575,0.0447888,0.005152117,0.0330484,0.00355695,36.69501
1574274700,0.662764435,0.00351575,0.2376333,0.044892,0.005049417,0.033031133,0.003522584,36.69501
1574274701,1.013228333,0.0035329,0.51452865,0.0451328,0.004809783,0.113839133,0.003539766,36.69501
1574274702,1.044788544,0.0035329,0.51164325,0.0451328,0.005220583,0.108952667,0.003539766,36.69501
1574274703,1.116251654,0.0034986,0.5092731,0.0449608,0.004912483,0.032910267,0.0035054,36.69501
1574274704,1.465934534,0.00351575,0.505305675,0.0446856,0.005066533,0.032893,0.003522584,36.69501
1574274705,1.721096535,0.00351575,0.501767625,0.0445824,0.00518635,0.0327894,0.003522584,36.69501
1574274706,1.718327472,0.0034986,0.5013726,0.0445136,0.005152117,0.032772133,0.0035054,36.69501
1574274707,1.675691011,0.0035329,0.464807025,0.0445136,0.00559715,0.032772133,0.003539766,36.69501
1574274708,1.53986495,0.00351575,0.45421005,0.0444792,0.005169233,0.032754867,0.003522584,36.69501
1574274709,1.002098832,0.00351575,0.0420444,0.0442728,0.005425983,0.032858467,0.003522584,36.69501
1574274710,0.446120803,0.0034986,0.0212283,0.0446684,0.005203467,0.032979333,0.0035054,36.69501
1574274711,0.446724317,0.0035329,0.021279825,0.0446856,0.005220583,0.033031133,0.003539766,36.69501
